taxon	header	partition	gc_content	valid_sites	gc_sites	n_sites_in_partition
16CI1f_Psebet	16CI1f_Psebet	p27_ND3	0.1440677966101695	118	17	118
16CI1f_Psebet	16CI1f_Psebet	p28_ND4L	0.18085106382978725	94	17	94
16CI1f_Psebet	16CI1f_Psebet	p29_ND4L	0.2553191489361702	94	24	94
16CI1f_Psebet	16CI1f_Psebet	p30_ND4L	0.23404255319148937	94	22	94
16CI1f_Psebet	16CI1f_Psebet	p31_ND4	0.3295964125560538	446	147	446
16CI1f_Psebet	16CI1f_Psebet	p32_ND4	0.273542600896861	446	122	446
16CI1f_Psebet	16CI1f_Psebet	p33_ND4	0.10786516853932585	445	48	445
16CI1f_Psebet	16CI1f_Psebet	p34_ND5	0.25760286225402507	559	144	559
16CI1f_Psebet	16CI1f_Psebet	p35_ND5	0.08243727598566308	558	46	558
16CI1f_Psebet	16CI1f_Psebet	p36_ND5	0.3172043010752688	558	177	558
16CI1f_Psebet	16CI1f_Psebet	p37_ND6	0.23952095808383234	167	40	167
16CI1f_Psebet	16CI1f_Psebet	p38_ND6	0.25149700598802394	167	42	167
16CI1f_Psebet	16CI1f_Psebet	p39_ND6	0.15568862275449102	167	26	167
16CI1f_Psebet	16CI1f_Psebet	p40_rrnl	0.23370577281191807	1074	251	1074
16CI1f_Psebet	16CI1f_Psebet	p41_rrns	0.26397919375812745	769	203	787
23spal_Amespa2	23spal_Amespa2	p1_ATP6	0.336283185840708	226	76	226
23spal_Amespa2	23spal_Amespa2	p2_ATP6	0.35398230088495575	226	80	226
23spal_Amespa2	23spal_Amespa2	p3_ATP6	0.16371681415929204	226	37	226
23spal_Amespa2	23spal_Amespa2	p4_ATP8	0.1320754716981132	53	7	53
23spal_Amespa2	23spal_Amespa2	p5_ATP8	0.2641509433962264	53	14	53
23spal_Amespa2	23spal_Amespa2	p6_ATP8	0.09433962264150944	53	5	53
23spal_Amespa2	23spal_Amespa2	p7_COX1	0.412109375	512	211	512
23spal_Amespa2	23spal_Amespa2	p8_COX1	0.404296875	512	207	512
23spal_Amespa2	23spal_Amespa2	p9_COX1	0.107421875	512	55	512
23spal_Amespa2	23spal_Amespa2	p10_COX2	0.40350877192982454	228	92	228
23spal_Amespa2	23spal_Amespa2	p11_COX2	0.37280701754385964	228	85	228
23spal_Amespa2	23spal_Amespa2	p12_COX2	0.13157894736842105	228	30	228
23spal_Amespa2	23spal_Amespa2	p13_COX3	0.40408163265306124	245	99	263
23spal_Amespa2	23spal_Amespa2	p14_COX3	0.36885245901639346	244	90	262
23spal_Amespa2	23spal_Amespa2	p15_COX3	0.1762295081967213	244	43	262
23spal_Amespa2	23spal_Amespa2	p16_CYTB	0.4021164021164021	378	152	378
23spal_Amespa2	23spal_Amespa2	p17_CYTB	0.3386243386243386	378	128	378
23spal_Amespa2	23spal_Amespa2	p18_CYTB	0.13756613756613756	378	52	378
23spal_Amespa2	23spal_Amespa2	p19_ND1	0.14	200	28	303
23spal_Amespa2	23spal_Amespa2	p20_ND1	0.325	200	65	303
23spal_Amespa2	23spal_Amespa2	p21_ND1	0.33	200	66	303
23spal_Amespa2	23spal_Amespa2	p22_ND2	0.24397590361445784	332	81	343
23spal_Amespa2	23spal_Amespa2	p23_ND2	0.3313253012048193	332	110	343
23spal_Amespa2	23spal_Amespa2	p24_ND2	0.1510574018126888	331	50	342
23spal_Amespa2	23spal_Amespa2	p25_ND3	0.288135593220339	118	34	118
23spal_Amespa2	23spal_Amespa2	p26_ND3	0.3305084745762712	118	39	118
23spal_Amespa2	23spal_Amespa2	p27_ND3	0.1440677966101695	118	17	118
23spal_Amespa2	23spal_Amespa2	p28_ND4L	0.0851063829787234	94	8	94
23spal_Amespa2	23spal_Amespa2	p29_ND4L	0.26595744680851063	94	25	94
23spal_Amespa2	23spal_Amespa2	p30_ND4L	0.24468085106382978	94	23	94
23spal_Amespa2	23spal_Amespa2	p31_ND4	0.3251121076233184	446	145	446
23spal_Amespa2	23spal_Amespa2	p32_ND4	0.24887892376681614	446	111	446
23spal_Amespa2	23spal_Amespa2	p33_ND4	0.10337078651685393	445	46	445
23spal_Amespa2	23spal_Amespa2	p34_ND5	0.2558139534883721	559	143	559
23spal_Amespa2	23spal_Amespa2	p35_ND5	0.12186379928315412	558	68	558
23spal_Amespa2	23spal_Amespa2	p36_ND5	0.3172043010752688	558	177	558
23spal_Amespa2	23spal_Amespa2	p37_ND6	0.25301204819277107	166	42	167
23spal_Amespa2	23spal_Amespa2	p38_ND6	0.25301204819277107	166	42	167
23spal_Amespa2	23spal_Amespa2	p39_ND6	0.1686746987951807	166	28	167
23spal_Amespa2	23spal_Amespa2	p40_rrnl	0.22905027932960895	1074	246	1074
23spal_Amespa2	23spal_Amespa2	p41_rrns	0.24870466321243523	772	192	787
41K26_Amepic	41K26_Amepic	p1_ATP6	0.33185840707964603	226	75	226
41K26_Amepic	41K26_Amepic	p2_ATP6	0.3584070796460177	226	81	226
41K26_Amepic	41K26_Amepic	p3_ATP6	0.12831858407079647	226	29	226
41K26_Amepic	41K26_Amepic	p4_ATP8	0.20754716981132076	53	11	53
41K26_Amepic	41K26_Amepic	p5_ATP8	0.2830188679245283	53	15	53
41K26_Amepic	41K26_Amepic	p6_ATP8	0.1320754716981132	53	7	53
41K26_Amepic	41K26_Amepic	p7_COX1	0.431640625	512	221	512
41K26_Amepic	41K26_Amepic	p8_COX1	0.40625	512	208	512
41K26_Amepic	41K26_Amepic	p9_COX1	0.125	512	64	512
41K26_Amepic	41K26_Amepic	p10_COX2	0.39473684210526316	228	90	228
41K26_Amepic	41K26_Amepic	p11_COX2	0.36403508771929827	228	83	228
41K26_Amepic	41K26_Amepic	p12_COX2	0.11842105263157894	228	27	228
41K26_Amepic	41K26_Amepic	p13_COX3	0.42857142857142855	245	105	263
41K26_Amepic	41K26_Amepic	p14_COX3	0.3770491803278688	244	92	262
41K26_Amepic	41K26_Amepic	p15_COX3	0.12295081967213115	244	30	262
41K26_Amepic	41K26_Amepic	p16_CYTB	0.41534391534391535	378	157	378
41K26_Amepic	41K26_Amepic	p17_CYTB	0.34656084656084657	378	131	378
41K26_Amepic	41K26_Amepic	p18_CYTB	0.12433862433862433	378	47	378
41K26_Amepic	41K26_Amepic	p19_ND1	0.09570957095709572	303	29	303
41K26_Amepic	41K26_Amepic	p20_ND1	0.3234323432343234	303	98	303
41K26_Amepic	41K26_Amepic	p21_ND1	0.32673267326732675	303	99	303
41K26_Amepic	41K26_Amepic	p22_ND2	0.23511904761904762	336	79	343
41K26_Amepic	41K26_Amepic	p23_ND2	0.33630952380952384	336	113	343
41K26_Amepic	41K26_Amepic	p24_ND2	0.19701492537313434	335	66	342
41K26_Amepic	41K26_Amepic	p25_ND3	0.2796610169491525	118	33	118
41K26_Amepic	41K26_Amepic	p26_ND3	0.3220338983050847	118	38	118
41K26_Amepic	41K26_Amepic	p27_ND3	0.11864406779661017	118	14	118
41K26_Amepic	41K26_Amepic	p28_ND4L	0.07446808510638298	94	7	94
41K26_Amepic	41K26_Amepic	p29_ND4L	0.26595744680851063	94	25	94
41K26_Amepic	41K26_Amepic	p30_ND4L	0.26595744680851063	94	25	94
41K26_Amepic	41K26_Amepic	p31_ND4	0.31390134529147984	446	140	446
41K26_Amepic	41K26_Amepic	p32_ND4	0.26905829596412556	446	120	446
41K26_Amepic	41K26_Amepic	p33_ND4	0.0853932584269663	445	38	445
41K26_Amepic	41K26_Amepic	p34_ND5	0.26654740608228983	559	149	559
41K26_Amepic	41K26_Amepic	p35_ND5	0.07885304659498207	558	44	558
41K26_Amepic	41K26_Amepic	p36_ND5	0.3046594982078853	558	170	558
41K26_Amepic	41K26_Amepic	p37_ND6	0.24786324786324787	117	29	167
41K26_Amepic	41K26_Amepic	p38_ND6	0.24786324786324787	117	29	167
41K26_Amepic	41K26_Amepic	p39_ND6	0.05982905982905983	117	7	167
41K26_Amepic	41K26_Amepic	p40_rrnl	0.23277467411545624	1074	250	1074
41K26_Amepic	41K26_Amepic	p41_rrns	0.2593068035943517	779	202	787
43assoi_Ameass	43assoi_Ameass	p1_ATP6	0.3185840707964602	226	72	226
43assoi_Ameass	43assoi_Ameass	p2_ATP6	0.36283185840707965	226	82	226
43assoi_Ameass	43assoi_Ameass	p3_ATP6	0.12389380530973451	226	28	226
43assoi_Ameass	43assoi_Ameass	p4_ATP8	0.20754716981132076	53	11	53
43assoi_Ameass	43assoi_Ameass	p5_ATP8	0.32075471698113206	53	17	53
43assoi_Ameass	43assoi_Ameass	p6_ATP8	0.09433962264150944	53	5	53
43assoi_Ameass	43assoi_Ameass	p7_COX1	0.43359375	512	222	512
43assoi_Ameass	43assoi_Ameass	p8_COX1	0.40625	512	208	512
43assoi_Ameass	43assoi_Ameass	p9_COX1	0.130859375	512	67	512
43assoi_Ameass	43assoi_Ameass	p10_COX2	0.40350877192982454	228	92	228
43assoi_Ameass	43assoi_Ameass	p11_COX2	0.36403508771929827	228	83	228
43assoi_Ameass	43assoi_Ameass	p12_COX2	0.12280701754385964	228	28	228
43assoi_Ameass	43assoi_Ameass	p13_COX3	0.42585551330798477	263	112	263
43assoi_Ameass	43assoi_Ameass	p14_COX3	0.37786259541984735	262	99	262
43assoi_Ameass	43assoi_Ameass	p15_COX3	0.16793893129770993	262	44	262
43assoi_Ameass	43assoi_Ameass	p16_CYTB	0.4126984126984127	378	156	378
43assoi_Ameass	43assoi_Ameass	p17_CYTB	0.34656084656084657	378	131	378
43assoi_Ameass	43assoi_Ameass	p18_CYTB	0.1164021164021164	378	44	378
43assoi_Ameass	43assoi_Ameass	p19_ND1	0.11221122112211221	303	34	303
43assoi_Ameass	43assoi_Ameass	p20_ND1	0.3234323432343234	303	98	303
43assoi_Ameass	43assoi_Ameass	p21_ND1	0.33003300330033003	303	100	303
43assoi_Ameass	43assoi_Ameass	p22_ND2	0.2303206997084548	343	79	343
43assoi_Ameass	43assoi_Ameass	p23_ND2	0.33819241982507287	343	116	343
43assoi_Ameass	43assoi_Ameass	p24_ND2	0.17251461988304093	342	59	342
43assoi_Ameass	43assoi_Ameass	p25_ND3	0.2796610169491525	118	33	118
43assoi_Ameass	43assoi_Ameass	p26_ND3	0.3220338983050847	118	38	118
43assoi_Ameass	43assoi_Ameass	p27_ND3	0.1271186440677966	118	15	118
43assoi_Ameass	43assoi_Ameass	p28_ND4L	0.06382978723404255	94	6	94
43assoi_Ameass	43assoi_Ameass	p29_ND4L	0.26595744680851063	94	25	94
43assoi_Ameass	43assoi_Ameass	p30_ND4L	0.26595744680851063	94	25	94
43assoi_Ameass	43assoi_Ameass	p31_ND4	0.31614349775784756	446	141	446
43assoi_Ameass	43assoi_Ameass	p32_ND4	0.2600896860986547	446	116	446
43assoi_Ameass	43assoi_Ameass	p33_ND4	0.08314606741573034	445	37	445
43assoi_Ameass	43assoi_Ameass	p34_ND5	0.26908396946564883	524	141	559
43assoi_Ameass	43assoi_Ameass	p35_ND5	0.09369024856596558	523	49	558
43assoi_Ameass	43assoi_Ameass	p36_ND5	0.30592734225621415	523	160	558
43assoi_Ameass	43assoi_Ameass	p37_ND6	0.25149700598802394	167	42	167
43assoi_Ameass	43assoi_Ameass	p38_ND6	0.25149700598802394	167	42	167
43assoi_Ameass	43assoi_Ameass	p39_ND6	0.07784431137724551	167	13	167
43assoi_Ameass	43assoi_Ameass	p40_rrnl	0.23277467411545624	1074	250	1074
43assoi_Ameass	43assoi_Ameass	p41_rrns	0.26153846153846155	780	204	787
59T3_Amedum	59T3_Amedum	p1_ATP6	0.3333333333333333	225	75	226
59T3_Amedum	59T3_Amedum	p2_ATP6	0.36	225	81	226
59T3_Amedum	59T3_Amedum	p3_ATP6	0.12444444444444444	225	28	226
59T3_Amedum	59T3_Amedum	p4_ATP8	0.1509433962264151	53	8	53
59T3_Amedum	59T3_Amedum	p5_ATP8	0.2830188679245283	53	15	53
59T3_Amedum	59T3_Amedum	p6_ATP8	0.16981132075471697	53	9	53
59T3_Amedum	59T3_Amedum	p7_COX1	0.436	500	218	512
59T3_Amedum	59T3_Amedum	p8_COX1	0.408	500	204	512
59T3_Amedum	59T3_Amedum	p9_COX1	0.132	500	66	512
59T3_Amedum	59T3_Amedum	p10_COX2	0.3815789473684211	228	87	228
59T3_Amedum	59T3_Amedum	p11_COX2	0.36403508771929827	228	83	228
59T3_Amedum	59T3_Amedum	p12_COX2	0.13157894736842105	228	30	228
59T3_Amedum	59T3_Amedum	p13_COX3	0.40304182509505704	263	106	263
59T3_Amedum	59T3_Amedum	p14_COX3	0.38549618320610685	262	101	262
59T3_Amedum	59T3_Amedum	p15_COX3	0.17938931297709923	262	47	262
59T3_Amedum	59T3_Amedum	p16_CYTB	0.41534391534391535	378	157	378
59T3_Amedum	59T3_Amedum	p17_CYTB	0.34656084656084657	378	131	378
59T3_Amedum	59T3_Amedum	p18_CYTB	0.15608465608465608	378	59	378
59T3_Amedum	59T3_Amedum	p19_ND1	0.0858085808580858	303	26	303
59T3_Amedum	59T3_Amedum	p20_ND1	0.33003300330033003	303	100	303
59T3_Amedum	59T3_Amedum	p21_ND1	0.31353135313531355	303	95	303
59T3_Amedum	59T3_Amedum	p22_ND2	0.23809523809523808	336	80	343
59T3_Amedum	59T3_Amedum	p23_ND2	0.32142857142857145	336	108	343
59T3_Amedum	59T3_Amedum	p24_ND2	0.18208955223880596	335	61	342
59T3_Amedum	59T3_Amedum	p25_ND3	0.2711864406779661	118	32	118
59T3_Amedum	59T3_Amedum	p26_ND3	0.3135593220338983	118	37	118
59T3_Amedum	59T3_Amedum	p27_ND3	0.1694915254237288	118	20	118
59T3_Amedum	59T3_Amedum	p28_ND4L	0.11702127659574468	94	11	94
59T3_Amedum	59T3_Amedum	p29_ND4L	0.26595744680851063	94	25	94
59T3_Amedum	59T3_Amedum	p30_ND4L	0.2553191489361702	94	24	94
59T3_Amedum	59T3_Amedum	p31_ND4	0.31614349775784756	446	141	446
59T3_Amedum	59T3_Amedum	p32_ND4	0.29596412556053814	446	132	446
59T3_Amedum	59T3_Amedum	p33_ND4	0.10337078651685393	445	46	445
59T3_Amedum	59T3_Amedum	p34_ND5	0.32196969696969696	264	85	559
59T3_Amedum	59T3_Amedum	p35_ND5	0.0946969696969697	264	25	558
59T3_Amedum	59T3_Amedum	p36_ND5	0.32954545454545453	264	87	558
59T3_Amedum	59T3_Amedum	p37_ND6	0.25149700598802394	167	42	167
59T3_Amedum	59T3_Amedum	p38_ND6	0.25149700598802394	167	42	167
59T3_Amedum	59T3_Amedum	p39_ND6	0.12574850299401197	167	21	167
59T3_Amedum	59T3_Amedum	p40_rrnl	0.23277467411545624	1074	250	1074
59T3_Amedum	59T3_Amedum	p41_rrns	0.25097024579560157	773	194	787
AA001_Ameand	AA001_Ameand	p1_ATP6	0.3274336283185841	226	74	226
AA001_Ameand	AA001_Ameand	p2_ATP6	0.3672566371681416	226	83	226
AA001_Ameand	AA001_Ameand	p3_ATP6	0.10619469026548672	226	24	226
AA001_Ameand	AA001_Ameand	p4_ATP8	0.20754716981132076	53	11	53
AA001_Ameand	AA001_Ameand	p5_ATP8	0.22641509433962265	53	12	53
AA001_Ameand	AA001_Ameand	p6_ATP8	0.1509433962264151	53	8	53
AA001_Ameand	AA001_Ameand	p7_COX1	0.431640625	512	221	512
AA001_Ameand	AA001_Ameand	p8_COX1	0.40625	512	208	512
AA001_Ameand	AA001_Ameand	p9_COX1	0.13671875	512	70	512
AA001_Ameand	AA001_Ameand	p10_COX2	0.40350877192982454	228	92	228
AA001_Ameand	AA001_Ameand	p11_COX2	0.35964912280701755	228	82	228
AA001_Ameand	AA001_Ameand	p12_COX2	0.15789473684210525	228	36	228
AA001_Ameand	AA001_Ameand	p13_COX3	0.41825095057034223	263	110	263
AA001_Ameand	AA001_Ameand	p14_COX3	0.37786259541984735	262	99	262
AA001_Ameand	AA001_Ameand	p15_COX3	0.14122137404580154	262	37	262
AA001_Ameand	AA001_Ameand	p16_CYTB	0.3968253968253968	378	150	378
AA001_Ameand	AA001_Ameand	p17_CYTB	0.3439153439153439	378	130	378
AA001_Ameand	AA001_Ameand	p18_CYTB	0.1402116402116402	378	53	378
AA001_Ameand	AA001_Ameand	p19_ND1	0.11551155115511551	303	35	303
AA001_Ameand	AA001_Ameand	p20_ND1	0.32673267326732675	303	99	303
AA001_Ameand	AA001_Ameand	p21_ND1	0.32673267326732675	303	99	303
AA001_Ameand	AA001_Ameand	p22_ND2	0.2289156626506024	332	76	343
AA001_Ameand	AA001_Ameand	p23_ND2	0.3373493975903614	332	112	343
AA001_Ameand	AA001_Ameand	p24_ND2	0.1782477341389728	331	59	342
AA001_Ameand	AA001_Ameand	p25_ND3	0.288135593220339	118	34	118
AA001_Ameand	AA001_Ameand	p26_ND3	0.3135593220338983	118	37	118
AA001_Ameand	AA001_Ameand	p27_ND3	0.11016949152542373	118	13	118
AA001_Ameand	AA001_Ameand	p28_ND4L	0.07446808510638298	94	7	94
AA001_Ameand	AA001_Ameand	p29_ND4L	0.26595744680851063	94	25	94
AA001_Ameand	AA001_Ameand	p30_ND4L	0.24468085106382978	94	23	94
AA001_Ameand	AA001_Ameand	p31_ND4	0.3247058823529412	425	138	446
AA001_Ameand	AA001_Ameand	p32_ND4	0.27122641509433965	424	115	446
AA001_Ameand	AA001_Ameand	p33_ND4	0.07294117647058823	425	31	445
AA001_Ameand	AA001_Ameand	p34_ND5	0.2629695885509839	559	147	559
AA001_Ameand	AA001_Ameand	p35_ND5	0.0967741935483871	558	54	558
AA001_Ameand	AA001_Ameand	p36_ND5	0.3064516129032258	558	171	558
AA001_Ameand	AA001_Ameand	p37_ND6	0.24550898203592814	167	41	167
AA001_Ameand	AA001_Ameand	p38_ND6	0.24550898203592814	167	41	167
AA001_Ameand	AA001_Ameand	p39_ND6	0.10179640718562874	167	17	167
AA001_Ameand	AA001_Ameand	p40_rrnl	0.23370577281191807	1074	251	1074
AA001_Ameand	AA001_Ameand	p41_rrns	0.2512820512820513	780	196	787
AA003_Ameser	AA003_Ameser	p1_ATP6	0.3274336283185841	226	74	226
AA003_Ameser	AA003_Ameser	p2_ATP6	0.3672566371681416	226	83	226
AA003_Ameser	AA003_Ameser	p3_ATP6	0.11946902654867257	226	27	226
AA003_Ameser	AA003_Ameser	p4_ATP8	0.20754716981132076	53	11	53
AA003_Ameser	AA003_Ameser	p5_ATP8	0.24528301886792453	53	13	53
AA003_Ameser	AA003_Ameser	p6_ATP8	0.16981132075471697	53	9	53
AA003_Ameser	AA003_Ameser	p7_COX1	0.431640625	512	221	512
AA003_Ameser	AA003_Ameser	p8_COX1	0.404296875	512	207	512
AA003_Ameser	AA003_Ameser	p9_COX1	0.126953125	512	65	512
AA003_Ameser	AA003_Ameser	p10_COX2	0.40350877192982454	228	92	228
AA003_Ameser	AA003_Ameser	p11_COX2	0.35964912280701755	228	82	228
AA003_Ameser	AA003_Ameser	p12_COX2	0.14035087719298245	228	32	228
AA003_Ameser	AA003_Ameser	p13_COX3	0.41825095057034223	263	110	263
AA003_Ameser	AA003_Ameser	p14_COX3	0.37786259541984735	262	99	262
AA003_Ameser	AA003_Ameser	p15_COX3	0.13358778625954199	262	35	262
AA003_Ameser	AA003_Ameser	p16_CYTB	0.3968253968253968	378	150	378
AA003_Ameser	AA003_Ameser	p17_CYTB	0.3439153439153439	378	130	378
AA003_Ameser	AA003_Ameser	p18_CYTB	0.15343915343915343	378	58	378
AA003_Ameser	AA003_Ameser	p19_ND1	0.0858085808580858	303	26	303
AA003_Ameser	AA003_Ameser	p20_ND1	0.32673267326732675	303	99	303
AA003_Ameser	AA003_Ameser	p21_ND1	0.32673267326732675	303	99	303
AA003_Ameser	AA003_Ameser	p22_ND2	0.23795180722891565	332	79	343
AA003_Ameser	AA003_Ameser	p23_ND2	0.33433734939759036	332	111	343
AA003_Ameser	AA003_Ameser	p24_ND2	0.18731117824773413	331	62	342
AA003_Ameser	AA003_Ameser	p25_ND3	0.288135593220339	118	34	118
AA003_Ameser	AA003_Ameser	p26_ND3	0.3220338983050847	118	38	118
AA003_Ameser	AA003_Ameser	p27_ND3	0.1271186440677966	118	15	118
AA003_Ameser	AA003_Ameser	p28_ND4L	0.0851063829787234	94	8	94
AA003_Ameser	AA003_Ameser	p29_ND4L	0.26595744680851063	94	25	94
AA003_Ameser	AA003_Ameser	p30_ND4L	0.24468085106382978	94	23	94
AA003_Ameser	AA003_Ameser	p31_ND4	0.3183856502242152	446	142	446
AA003_Ameser	AA003_Ameser	p32_ND4	0.2556053811659193	446	114	446
AA003_Ameser	AA003_Ameser	p33_ND4	0.08764044943820225	445	39	445
AA003_Ameser	AA003_Ameser	p34_ND5	0.2629695885509839	559	147	559
AA003_Ameser	AA003_Ameser	p35_ND5	0.09498207885304659	558	53	558
AA003_Ameser	AA003_Ameser	p36_ND5	0.3010752688172043	558	168	558
AA003_Ameser	AA003_Ameser	p37_ND6	0.23952095808383234	167	40	167
AA003_Ameser	AA003_Ameser	p38_ND6	0.2634730538922156	167	44	167
AA003_Ameser	AA003_Ameser	p39_ND6	0.07784431137724551	167	13	167
AA003_Ameser	AA003_Ameser	p40_rrnl	0.2346368715083799	1074	252	1074
AA003_Ameser	AA003_Ameser	p41_rrns	0.25256410256410255	780	197	787
AA005_Amespa	AA005_Amespa	p1_ATP6	0.3407079646017699	226	77	226
AA005_Amespa	AA005_Amespa	p2_ATP6	0.36283185840707965	226	82	226
AA005_Amespa	AA005_Amespa	p3_ATP6	0.12389380530973451	226	28	226
AA005_Amespa	AA005_Amespa	p4_ATP8	0.20754716981132076	53	11	53
AA005_Amespa	AA005_Amespa	p5_ATP8	0.2641509433962264	53	14	53
AA005_Amespa	AA005_Amespa	p6_ATP8	0.1320754716981132	53	7	53
AA005_Amespa	AA005_Amespa	p7_COX1	0.41796875	512	214	512
AA005_Amespa	AA005_Amespa	p8_COX1	0.400390625	512	205	512
AA005_Amespa	AA005_Amespa	p9_COX1	0.11328125	512	58	512
AA005_Amespa	AA005_Amespa	p10_COX2	0.4166666666666667	228	95	228
AA005_Amespa	AA005_Amespa	p11_COX2	0.3684210526315789	228	84	228
AA005_Amespa	AA005_Amespa	p12_COX2	0.12280701754385964	228	28	228
AA005_Amespa	AA005_Amespa	p13_COX3	0.41825095057034223	263	110	263
AA005_Amespa	AA005_Amespa	p14_COX3	0.37786259541984735	262	99	262
AA005_Amespa	AA005_Amespa	p15_COX3	0.13740458015267176	262	36	262
AA005_Amespa	AA005_Amespa	p16_CYTB	0.3994708994708995	378	151	378
AA005_Amespa	AA005_Amespa	p17_CYTB	0.335978835978836	378	127	378
AA005_Amespa	AA005_Amespa	p18_CYTB	0.15608465608465608	378	59	378
AA005_Amespa	AA005_Amespa	p19_ND1	0.0924092409240924	303	28	303
AA005_Amespa	AA005_Amespa	p20_ND1	0.32673267326732675	303	99	303
AA005_Amespa	AA005_Amespa	p21_ND1	0.32673267326732675	303	99	303
AA005_Amespa	AA005_Amespa	p22_ND2	0.2620481927710843	332	87	343
AA005_Amespa	AA005_Amespa	p23_ND2	0.32831325301204817	332	109	343
AA005_Amespa	AA005_Amespa	p24_ND2	0.21148036253776434	331	70	342
AA005_Amespa	AA005_Amespa	p25_ND3	0.3448275862068966	116	40	118
AA005_Amespa	AA005_Amespa	p26_ND3	0.3275862068965517	116	38	118
AA005_Amespa	AA005_Amespa	p27_ND3	0.1896551724137931	116	22	118
AA005_Amespa	AA005_Amespa	p28_ND4L	0.11702127659574468	94	11	94
AA005_Amespa	AA005_Amespa	p29_ND4L	0.2553191489361702	94	24	94
AA005_Amespa	AA005_Amespa	p30_ND4L	0.2553191489361702	94	24	94
AA005_Amespa	AA005_Amespa	p31_ND4	0.32286995515695066	446	144	446
AA005_Amespa	AA005_Amespa	p32_ND4	0.257847533632287	446	115	446
AA005_Amespa	AA005_Amespa	p33_ND4	0.10561797752808989	445	47	445
AA005_Amespa	AA005_Amespa	p34_ND5	0.26833631484794274	559	150	559
AA005_Amespa	AA005_Amespa	p35_ND5	0.1111111111111111	558	62	558
AA005_Amespa	AA005_Amespa	p36_ND5	0.30286738351254483	558	169	558
AA005_Amespa	AA005_Amespa	p37_ND6	0.26506024096385544	166	44	167
AA005_Amespa	AA005_Amespa	p38_ND6	0.2469879518072289	166	41	167
AA005_Amespa	AA005_Amespa	p39_ND6	0.12650602409638553	166	21	167
AA005_Amespa	AA005_Amespa	p40_rrnl	0.23556797020484171	1074	253	1074
AA005_Amespa	AA005_Amespa	p41_rrns	0.24285714285714285	770	187	787
AAP07_Aptapt	AAP07_Aptapt	p1_ATP6	0.3274336283185841	226	74	226
AAP07_Aptapt	AAP07_Aptapt	p2_ATP6	0.3584070796460177	226	81	226
AAP07_Aptapt	AAP07_Aptapt	p3_ATP6	0.11504424778761062	226	26	226
AAP07_Aptapt	AAP07_Aptapt	p4_ATP8	0.20754716981132076	53	11	53
AAP07_Aptapt	AAP07_Aptapt	p5_ATP8	0.2830188679245283	53	15	53
AAP07_Aptapt	AAP07_Aptapt	p6_ATP8	0.09433962264150944	53	5	53
AAP07_Aptapt	AAP07_Aptapt	p7_COX1	0.42578125	512	218	512
AAP07_Aptapt	AAP07_Aptapt	p8_COX1	0.404296875	512	207	512
AAP07_Aptapt	AAP07_Aptapt	p9_COX1	0.126953125	512	65	512
AAP07_Aptapt	AAP07_Aptapt	p10_COX2	0.40789473684210525	228	93	228
